index,source,target,weight
8593,Government of Japan,UK Department for International Development,83
8594,Government of Japan,United States Agency for International Development (USAID),107
8595,Norwegian Agency for Development Cooperation (NORAD),UK Department for International Development,67
8596,Norwegian Agency for Development Cooperation (NORAD),United States Agency for International Development (USAID),69
8597,Bill and Melinda Gates Foundation,Netherlands Organization for Scientific Research (NWO),37
8598,Australian Research Council,Bill and Melinda Gates Foundation,106
8599,Natural Sciences and Engineering Research Council of Canada (NSERC),Novo Nordisk Foundation,1
8600,South African National Research Foundation,United States Agency for International Development (USAID),14
8601,Bill and Melinda Gates Foundation,United States Department of Agriculture (USDA),78
8602,Government of United Kingdom,National Health and Medical Research Council of Australia,5
8603,Rockefeller Foundation,Swiss Agency for Development and Cooperation,1
8604,INDEPTH Network,UK Department for International Development,2
8605,Swiss Agency for Development and Cooperation,UK Department for International Development,13
8606,Bill and Melinda Gates Foundation,Swiss Agency for Development and Cooperation,40
8607,INDEPTH Network,The World Bank,2
8608,Swiss Agency for Development and Cooperation,The World Bank,1
8609,The World Bank,World Health Organization,25
8610,CGIAR,Swiss Agency for Development and Cooperation,20
8611,INDEPTH Network,United States Agency for International Development (USAID),2
8612,INDEPTH Network,World Health Organization,2
8613,Swiss Agency for Development and Cooperation,World Health Organization,1
8614,Bill and Melinda Gates Foundation,Norwegian Agency for Development Cooperation,37
8615,Government of Denmark,United States National Institutes of Health (NIH),41
8616,Government of Denmark,Norwegian Agency for Development Cooperation,13
8617,International AIDS Vaccine Initiative (IAVI),Irish Aid,19
8618,Irish Aid,Norwegian Agency for Development Cooperation,18
8619,CGIAR,Norwegian Agency for Development Cooperation,23
8620,Government of Japan,International AIDS Vaccine Initiative (IAVI),20
8621,International AIDS Vaccine Initiative (IAVI),UK Department for International Development,20
8622,International AIDS Vaccine Initiative (IAVI),Norwegian Agency for Development Cooperation,3
8623,International AIDS Vaccine Initiative (IAVI),United States Agency for International Development (USAID),39
8624,Government of Japan,Norwegian Agency for Development Cooperation,12
8625,Bill and Melinda Gates Foundation,Government of South Africa,81
8626,South African Medical Research Council,University of Oxford,1
8627,Government of South Africa,University of Oxford,1
8628,South African National Research Foundation,University of Oxford,1
8629,AstraZeneca,University of Oxford,2
8630,CGIAR,National Key Research and Development Program of China,28
8631,Bill and Melinda Gates Foundation,University of Cape Town,27
8632,Bill and Melinda Gates Foundation,Vallee Foundation,2
8633,Alfred P. Sloan Foundation,Vallee Foundation,1
8634,"Ministry of Foreign Affairs, Netherlands",Norwegian Agency for Development Cooperation,13
8635,Norwegian Agency for Development Cooperation,The World Bank,5
8636,Bill and Melinda Gates Foundation,German Research Foundation,14
8637,Bill and Melinda Gates Foundation,Gulbenkian Foundation,1
8638,German Research Foundation,Gulbenkian Foundation,1
8639,Bill and Melinda Gates Foundation,United States Department of Energy (DOE),79
8640,United States Department of Agriculture (USDA),United States Department of Energy (DOE),2
8641,Carnegie Corporation of New York,Howard Hughes Medical Institute,3
8642,Howard Hughes Medical Institute,Swedish International Development Cooperation Agency (SIDA),2
8643,Bill and Melinda Gates Foundation,IDRC,4
8644,Medical Research Council UK (MRC),United States National Science Foundation (NSF),2
8645,UK National Institute of Health Research (NIHR),University of Oxford,8
8646,Medical Research Council UK (MRC),University of Oxford,1
8647,Bill and Melinda Gates Foundation,Medical Research Council UK (MRC),58
8648,Bill and Melinda Gates Foundation,Instituto de Salud Carlos IIIInstituto de Salud Carlos III,24
8649,Glaxo Smith Kline,United States Department of Defense (DOD),3
8650,National Research Foundation of Korea,United States Department of Defense (DOD),1
8651,Boehringer Ingelheim,United States Department of Defense (DOD),2
8652,Medical Research Council UK (MRC),United States Department of Defense (DOD),1
8653,National Research Foundation of Korea,Wellcome Trust,2
8654,Glaxo Smith Kline,National Research Foundation of Korea,1
8655,Glaxo Smith Kline,National Natural Science Foundation of China (NSFC),1
8656,Boehringer Ingelheim,United States National Science Foundation (NSF),2
8657,Cancer Research UK,United States National Science Foundation (NSF),5
8658,Doris Duke Charitable Foundation (DDCF),German Research Foundation (DFG),4
8659,German Research Foundation (DFG),Medical Research Council UK (MRC),2
8660,Bill and Melinda Gates Foundation,National Research Foundation of Korea,4
8661,Bill and Melinda Gates Foundation,Boehringer Ingelheim,21
8662,Medical Research Council UK (MRC),Stanford University,1
8663,Doris Duke Charitable Foundation (DDCF),National Research Foundation of Korea,2
8664,Doris Duke Charitable Foundation (DDCF),National Natural Science Foundation of China (NSFC),2
8665,Doris Duke Charitable Foundation (DDCF),Medical Research Council UK (MRC),1
8666,Doris Duke Charitable Foundation (DDCF),Howard Hughes Medical Institute,8
8667,Cancer Research UK,Doris Duke Charitable Foundation (DDCF),2
8668,Boehringer Ingelheim,National Research Foundation of Korea,1
8669,Medical Research Council UK (MRC),National Research Foundation of Korea,1
8670,Howard Hughes Medical Institute,National Research Foundation of Korea,1
8671,Cancer Research UK,National Research Foundation of Korea,1
8672,Boehringer Ingelheim,National Natural Science Foundation of China (NSFC),1
8673,Boehringer Ingelheim,Medical Research Council UK (MRC),1
8674,Boehringer Ingelheim,Howard Hughes Medical Institute,1
8675,Boehringer Ingelheim,Cancer Research UK,1
8676,Boehringer Ingelheim,European Research Council,1
8677,Medical Research Council UK (MRC),National Natural Science Foundation of China (NSFC),1
8678,Cancer Research UK,National Natural Science Foundation of China (NSFC),1
8679,Howard Hughes Medical Institute,Medical Research Council UK (MRC),2
8680,Cancer Research UK,Medical Research Council UK (MRC),3
8681,European Research Council,Medical Research Council UK (MRC),3
8682,Alexander von Humboldt Foundation,Bill and Melinda Gates Foundation,20
8683,CGIAR,Medical Research Council UK (MRC),12
8684,,UK Department for International Development,15
8685,,United States Agency for International Development (USAID),21
8686,Bill and Melinda Gates Foundation,Economic  Social Research Council UK (ESRC),46
8687,Economic  Social Research Council UK (ESRC),World Health Organization,4
8688,The World Bank,UNICEF,18
8689,CGIAR,Emory University,3
8690,Bill and Melinda Gates Foundation,Emory University,15
8691,CGIAR,International Development Research Center (IDRC),11
8692,International Development Research Center (IDRC),UNICEF,23
8693,Bill and Melinda Gates Foundation,European and Developing Countries Clinical Trials Partnership,40
8694,European and Developing Countries Clinical Trials Partnership,United States National Institutes of Health (NIH),20
8695,CGIAR,Natural Environment Research Council (NERC),6
8696,Natural Environment Research Council (NERC),UK Department for International Development,8
8697,Bill and Melinda Gates Foundation,Task Force for Global Health,59
8698,CGIAR,Task Force for Global Health,4
8699,Bill and Melinda Gates Foundation,Fundamental Research Funds for the Central Universities,22
8700,CGIAR,Fundamental Research Funds for the Central Universities,6
8701,Fundamental Research Funds for the Central Universities,United States National Institutes of Health (NIH),3
8702,Bill and Melinda Gates Foundation,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),119
8703,CGIAR,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),45
8704,CGIAR,JPB Foundation,2
8705,Ford Foundation,JPB Foundation,6
8706,Bill and Melinda Gates Foundation,Pennsylvania State University,7
8707,Medicines for Malaria Venture,Pennsylvania State University,1
8708,Government of Netherlands,United States Department of Defense (DOD),1
8709,UK Department for International Development,United States Department of Defense (DOD),3
8710,International AIDS Vaccine Initiative (IAVI),"Ministry of Foreign Affairs, Netherlands",26
8711,International AIDS Vaccine Initiative (IAVI),The World Bank,7
8712,UK Department for International Development,UK National Institute of Health Research (NIHR),32
8713,Bill and Melinda Gates Foundation,Clinton Health Access Initiative,65
8714,Thrasher Research Fund,United States Centers for Disease Control and Prevention (CDC),12
8715,Irish Aid,United States Centers for Disease Control and Prevention (CDC),2
8716,The World Bank,United States Centers for Disease Control and Prevention (CDC),8
8717,UNICEF,United States Centers for Disease Control and Prevention (CDC),9
8718,Thrasher Research Fund,Wellcome Trust,9
8719,Irish Aid,Thrasher Research Fund,1
8720,Government of United Kingdom,Thrasher Research Fund,1
8721,The World Bank,Thrasher Research Fund,6
8722,CGIAR,Thrasher Research Fund,11
8723,Thrasher Research Fund,UK Research and Innovation (UKRI),4
8724,Thrasher Research Fund,United States Agency for International Development (USAID),17
8725,Thrasher Research Fund,UNICEF,1
8726,Irish Aid,Wellcome Trust,13
8727,UNICEF,Wellcome Trust,15
8728,Government of United Kingdom,Irish Aid,2
8729,Government of United Kingdom,The World Bank,23
8730,Government of United Kingdom,United States Agency for International Development (USAID),44
8731,Government of United Kingdom,UNICEF,2
8732,UK Research and Innovation (UKRI),UNICEF,5
8733,Bill and Melinda Gates Foundation,Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES),67
8734,Bill and Melinda Gates Foundation,Gilead Sciences,119
8735,CGIAR,Gilead Sciences,35
8736,National Key Research and Development Program of China,UK Department for International Development,2
8737,Clinton Health Access Initiative,National Key Research and Development Program of China,1
8738,Clinton Health Access Initiative,European Commission,25
8739,CGIAR,Clinton Health Access Initiative,20
8740,National Natural Science Foundation of China (NSFC),UK Department for International Development,3
8741,Clinton Health Access Initiative,National Natural Science Foundation of China (NSFC),2
8742,Clinton Health Access Initiative,UK Department for International Development,20
8743,Clinton Health Access Initiative,Wellcome Trust,37
8744,Bill and Melinda Gates Foundation,Ohio State University,3
8745,Government of Norway,Syngenta Foundation for Sustainable Agriculture (SFSA),1
